product_id,product_name,list_price,cost_price,product_category
1,USB missile launcher (Green),25.00,14.00,Desk Gadgets
2,Office cube periscope (Black),18.50,11.00,Desk Gadgets
3,DBA joke mug - SELECT caffeine FROM mug (Black),13.00,7.00,Mugs
4,"Developer joke mug - (hip, hip, array) (White)",13.00,7.50,Mugs
5,RC toy sedan car with remote control (Black) 1/50 scale,25.00,15.50,RC Toys
6,RC big wheel monster truck with remote control (Black) 1/50 scale,45.00,27.00,RC Toys
7,Alien officer hoodie (Black) XL,35.00,21.00,Apparel
8,Superhero action jacket (Blue) M,30.00,19.50,Apparel
9,Dinosaur battery-powered slippers (Green) L,32.00,19.00,Apparel
10,Pack of 12 action figures (variety),16.00,9.60,Toys
11,Ride on big wheel monster truck (Black) 1/12 scale,345.00,215.00,Ride-On
12,Air cushion machine (Blue),1899.00,1250.00,Ride-On
