sale_id,customer_id,product_id,sale_date,quantity,unit_price
1,1,1,2025-09-15,20,25.00
2,1,1,2025-10-20,25,25.00
3,1,1,2025-12-05,30,22.50
4,1,1,2026-02-10,20,25.00
5,1,1,2026-05-18,15,25.00
6,1,1,2026-07-22,18,22.50
7,1,3,2025-11-01,50,11.96
8,1,3,2026-03-14,40,13.00
9,2,3,2025-10-05,30,11.96
10,2,3,2026-04-02,25,11.96
11,3,1,2025-09-28,10,25.00
12,3,1,2026-06-11,12,25.00
13,4,4,2025-10-15,15,13.00
14,4,4,2026-01-20,20,13.00
15,5,5,2025-09-10,40,20.00
16,5,5,2025-12-18,45,20.00
17,5,5,2026-04-25,35,20.00
18,6,11,2025-11-12,6,310.50
19,6,11,2026-06-02,8,310.50
20,6,11,2026-08-15,5,345.00
21,6,9,2025-10-08,25,32.00
22,6,9,2026-02-14,30,30.00
23,7,5,2025-09-19,20,20.00
24,7,5,2026-05-07,22,20.00
25,8,2,2025-09-25,10,18.50
26,8,2,2026-03-30,12,18.50
27,8,10,2025-11-20,20,14.08
28,8,10,2026-07-05,18,14.08
29,9,7,2025-10-30,15,28.00
30,9,7,2026-04-18,20,28.00
31,9,10,2025-12-22,25,14.08
32,10,8,2025-09-05,10,30.00
33,10,8,2026-01-15,12,28.50
34,10,8,2026-06-28,15,30.00
35,10,6,2025-10-12,10,45.00
36,10,6,2026-03-08,12,45.00
37,3,9,2025-12-01,8,32.00
38,2,1,2026-02-27,15,25.00
39,7,11,2026-07-30,3,345.00
40,4,3,2026-05-22,35,11.96
41,1,1,2026-08-30,22,25.00
42,6,11,2025-09-02,7,310.50
43,9,10,2026-02-09,22,14.08
44,10,6,2026-08-02,55,32.00
45,5,5,2026-08-10,50,20.00
