deal_id,customer_id,buying_group,customer_category,product_id,min_quantity,start_date,end_date,discount_pct,fixed_unit_price
1,1,,,1,,2025-01-01,2026-12-31,10,
2,,Tailspin Toys,,3,,2025-01-01,2026-12-31,8,
3,,,Reseller,10,,2025-01-01,2026-12-31,12,
4,,,Retail Chain,2,,2025-01-01,2026-12-31,3,
5,8,,,2,,2024-01-01,2024-06-30,15,
6,,,,6,50,2025-01-01,2026-12-31,,32.00
7,,Wingtip Toys,,5,,2025-01-01,2026-12-31,,20.00
8,6,,,11,5,2025-01-01,2026-12-31,10,
9,,Tailspin Toys,,4,,2023-01-01,2023-12-31,20,
10,9,,,7,,2025-01-01,2026-12-31,,28.00
11,3,,,9,,2025-01-01,2026-12-31,70,
